Occupational_Prestige_Pct,Highest_Educ_Level,Happiness,sex,Year
48,13,Pretty Happy,2,2006
31,9,Pretty Happy,2,2006
47,12,Very Happy,2,2006
46,16,Pretty Happy,2,2006
48,12,Pretty Happy,2,2006
44,14,NA,2,2006
63,16,Pretty Happy,2,2006
64,18,Very Happy,2,2006
33,9,Not Too Happy,2,2006
39,13,Very Happy,2,2006
58,18,NA,2,2006
NA,11,Pretty Happy,2,2006
48,13,Pretty Happy,2,2006
NA,14,NA,2,2006
56,16,Pretty Happy,2,2006
35,11,NA,2,2006
NA,14,NA,2,2006
35,5,Pretty Happy,2,2006
31,12,Pretty Happy,2,2006
48,14,Pretty Happy,2,2006
49,12,NA,2,2006
47,12,NA,2,2006
36,17,Pretty Happy,2,2006
38,12,Very Happy,2,2006
48,14,NA,2,2006
64,15,NA,2,2006
54,18,NA,2,2006
47,14,Not Too Happy,2,2006
43,14,Pretty Happy,2,2006
50,16,NA,2,2006
NA,NA,NA,2,2006
24,10,NA,2,2006
34,12,Pretty Happy,2,2006
48,14,Pretty Happy,2,2006
31,13,Very Happy,2,2006
53,18,Very Happy,2,2006
17,18,Pretty Happy,2,2006
67,20,Pretty Happy,2,2006
59,17,Pretty Happy,2,2006
38,14,NA,2,2006
36,12,Very Happy,2,2006
61,16,Very Happy,2,2006
NA,10,Very Happy,2,2006
NA,12,Pretty Happy,2,2006
32,12,Very Happy,2,2006
59,18,Pretty Happy,2,2006
34,12,NA,2,2006
46,17,Very Happy,2,2006
32,12,NA,2,2006
29,9,Pretty Happy,2,2006
47,16,Very Happy,2,2006
74,15,Very Happy,2,2006
24,16,Very Happy,2,2006
24,12,Pretty Happy,2,2006
37,10,Pretty Happy,2,2006
25,10,Pretty Happy,2,2006
56,16,Very Happy,2,2006
45,17,Pretty Happy,2,2006
47,13,Pretty Happy,2,2006
25,6,Pretty Happy,2,2006
47,14,NA,2,2006
25,3,Not Too Happy,2,2006
22,10,Pretty Happy,2,2006
61,17,Not Too Happy,2,2006
74,18,Pretty Happy,2,2006
48,15,NA,2,2006
70,18,Very Happy,2,2006
32,12,Very Happy,2,2006
35,6,NA,2,2006
54,18,Pretty Happy,2,2006
48,11,Not Too Happy,2,2006
47,16,NA,2,2006
32,12,Pretty Happy,2,2006
35,2,NA,2,2006
25,12,Pretty Happy,2,2006
46,16,Pretty Happy,2,2006
47,13,NA,2,2006
51,12,NA,2,2006
64,19,NA,2,2006
47,12,NA,2,2006
62,14,Pretty Happy,2,2006
73,16,Very Happy,2,2006
47,16,NA,2,2006
31,14,Not Too Happy,2,2006
45,14,Very Happy,2,2006
64,17,NA,2,2006
25,16,Pretty Happy,2,2006
25,11,NA,2,2006
45,12,Very Happy,2,2006
35,12,Pretty Happy,2,2006
31,14,Very Happy,2,2006
49,16,NA,2,2006
53,16,Pretty Happy,2,2006
42,12,NA,2,2006
45,16,Very Happy,2,2006
64,16,Pretty Happy,2,2006
61,19,NA,2,2006
35,12,Very Happy,2,2006
38,16,Pretty Happy,2,2006
47,18,Pretty Happy,2,2006
36,12,NA,2,2006
66,14,NA,2,2006
56,14,NA,2,2006
39,14,Not Too Happy,2,2006
39,12,NA,2,2006
61,16,NA,2,2006
48,16,Pretty Happy,2,2006
NA,14,Pretty Happy,2,2006
48,14,NA,2,2006
45,12,Very Happy,2,2006
47,13,Pretty Happy,2,2006
25,16,NA,2,2006
46,16,NA,2,2006
61,20,Pretty Happy,2,2006
32,12,Very Happy,2,2006
53,16,NA,2,2006
60,16,NA,2,2006
37,12,Not Too Happy,2,2006
46,13,Pretty Happy,2,2006
61,18,Pretty Happy,2,2006
71,20,Very Happy,2,2006
33,18,Very Happy,2,2006
25,13,Very Happy,2,2006
53,16,Pretty Happy,2,2006
55,18,Very Happy,2,2006
61,20,Pretty Happy,2,2006
25,6,Very Happy,2,2006
41,12,NA,2,2006
26,5,NA,2,2006
39,15,Very Happy,2,2006
25,13,Pretty Happy,2,2006
64,15,Very Happy,2,2006
61,16,Pretty Happy,2,2006
64,16,NA,2,2006
53,16,NA,2,2006
38,12,Pretty Happy,2,2006
45,14,NA,2,2006
45,14,NA,2,2006
40,14,NA,2,2006
48,16,Not Too Happy,2,2006
NA,17,Very Happy,2,2006
60,16,NA,2,2006
38,14,Pretty Happy,2,2006
38,19,Pretty Happy,2,2006
25,4,Very Happy,2,2006
44,12,Pretty Happy,2,2006
28,12,NA,2,2006
NA,10,NA,2,2006
63,14,NA,2,2006
37,13,Not Too Happy,2,2006
31,14,Very Happy,2,2006
34,17,Not Too Happy,2,2006
48,12,NA,2,2006
66,18,Pretty Happy,2,2006
61,14,Very Happy,2,2006
38,12,NA,2,2006
17,13,Very Happy,2,2006
54,17,NA,2,2006
38,14,Very Happy,2,2006
NA,12,NA,2,2006
74,19,NA,2,2006
55,16,NA,2,2006
43,12,Very Happy,2,2006
31,12,Not Too Happy,2,2006
NA,3,Not Too Happy,2,2006
48,11,Very Happy,2,2006
NA,13,NA,2,2006
31,13,NA,2,2006
48,16,Pretty Happy,2,2006
33,13,Very Happy,2,2006
60,14,Very Happy,2,2006
74,18,NA,2,2006
40,14,Very Happy,2,2006
NA,15,Pretty Happy,2,2006
28,16,Very Happy,2,2006
44,14,Pretty Happy,2,2006
46,14,Very Happy,2,2006
61,18,Very Happy,2,2006
NA,12,Pretty Happy,2,2006
53,17,Very Happy,2,2006
58,12,NA,2,2006
54,18,Pretty Happy,2,2006
38,14,NA,2,2006
53,11,Very Happy,2,2006
25,15,Very Happy,2,2006
40,14,NA,2,2006
48,13,NA,2,2006
43,12,Not Too Happy,2,2006
46,14,Pretty Happy,2,2006
61,17,Very Happy,2,2006
NA,9,Pretty Happy,2,2006
32,12,Very Happy,2,2006
48,16,Pretty Happy,2,2006
31,16,Pretty Happy,2,2006
31,20,Pretty Happy,2,2006
64,15,Very Happy,2,2006
38,14,Very Happy,2,2006
43,14,Pretty Happy,2,2006
67,16,Pretty Happy,2,2006
70,17,Pretty Happy,2,2006
38,12,NA,2,2006
53,16,NA,2,2006
61,20,NA,2,2006
NA,12,Very Happy,2,2006
61,16,NA,2,2006
27,5,Very Happy,2,2006
NA,12,NA,2,2006
25,12,NA,2,2006
28,12,Pretty Happy,2,2006
48,12,Pretty Happy,2,2006
48,9,Pretty Happy,2,2006
63,12,Very Happy,2,2006
59,14,NA,2,2006
60,16,Very Happy,2,2006
46,12,Pretty Happy,2,2006
24,8,Very Happy,2,2006
28,12,NA,2,2006
53,16,Pretty Happy,2,2006
48,16,Pretty Happy,2,2006
47,13,NA,2,2006
36,12,Not Too Happy,2,2006
39,6,Pretty Happy,2,2006
NA,9,NA,2,2006
NA,6,Very Happy,2,2006
38,13,Pretty Happy,2,2006
NA,12,Pretty Happy,2,2006
64,12,Very Happy,2,2006
NA,12,Pretty Happy,2,2006
39,16,NA,2,2006
46,14,Pretty Happy,2,2006
47,16,Pretty Happy,2,2006
31,15,Pretty Happy,2,2006
31,14,Pretty Happy,2,2006
45,13,Very Happy,2,2006
53,15,Pretty Happy,2,2006
55,18,Pretty Happy,2,2006
64,16,Very Happy,2,2006
49,10,Pretty Happy,2,2006
40,12,Pretty Happy,2,2006
47,12,NA,2,2006
64,16,Pretty Happy,2,2006
38,15,Very Happy,2,2006
36,8,NA,2,2006
61,16,Very Happy,2,2006
31,12,NA,2,2006
31,13,Pretty Happy,2,2006
NA,12,Pretty Happy,2,2006
32,12,NA,2,2006
47,14,Pretty Happy,2,2006
64,18,Very Happy,2,2006
30,14,Not Too Happy,2,2006
64,20,Pretty Happy,2,2006
39,12,NA,2,2006
53,12,NA,2,2006
66,20,NA,2,2006
64,15,Not Too Happy,2,2006
46,15,NA,2,2006
60,14,Pretty Happy,2,2006
52,12,NA,2,2006
47,12,NA,2,2006
35,14,NA,2,2006
47,12,Pretty Happy,2,2006
28,12,Very Happy,2,2006
31,16,Pretty Happy,2,2006
48,12,Very Happy,2,2006
49,14,Pretty Happy,2,2006
39,9,Not Too Happy,2,2006
39,13,Pretty Happy,2,2006
31,13,Pretty Happy,2,2006
27,11,Pretty Happy,2,2006
35,9,NA,2,2006
48,12,NA,2,2006
48,12,Not Too Happy,2,2006
54,17,Pretty Happy,2,2006
58,16,Very Happy,2,2006
47,10,NA,2,2006
49,16,Pretty Happy,2,2006
40,14,Not Too Happy,2,2006
24,12,Very Happy,2,2006
63,14,NA,2,2006
69,19,NA,2,2006
48,14,Very Happy,2,2006
39,12,Very Happy,2,2006
35,12,NA,2,2006
32,13,NA,2,2006
38,12,Not Too Happy,2,2006
36,8,NA,2,2006
51,14,NA,2,2006
31,13,Pretty Happy,2,2006
NA,2,Pretty Happy,2,2006
35,9,NA,2,2006
33,15,Pretty Happy,2,2006
53,16,Very Happy,2,2006
47,12,NA,2,2006
38,16,Pretty Happy,2,2006
46,16,Very Happy,2,2006
51,14,Pretty Happy,2,2006
49,12,Pretty Happy,2,2006
35,11,NA,2,2006
33,11,Pretty Happy,2,2006
31,14,Pretty Happy,2,2006
48,11,Pretty Happy,2,2006
46,16,Pretty Happy,2,2006
35,13,Very Happy,2,2006
47,12,NA,2,2006
72,14,NA,2,2006
61,17,Not Too Happy,2,2006
45,13,Not Too Happy,2,2006
64,16,Pretty Happy,2,2006
64,18,NA,2,2006
53,16,NA,2,2006
46,18,Not Too Happy,2,2006
56,16,Pretty Happy,2,2006
38,16,NA,2,2006
36,14,NA,2,2006
57,16,Very Happy,2,2006
NA,12,Pretty Happy,2,2006
60,12,Not Too Happy,2,2006
53,16,Very Happy,2,2006
47,14,NA,2,2006
30,11,Pretty Happy,2,2006
45,13,Pretty Happy,2,2006
61,17,NA,2,2006
49,10,NA,2,2006
27,0,Pretty Happy,2,2006
45,14,Very Happy,2,2006
NA,17,Very Happy,2,2006
NA,12,Not Too Happy,2,2006
32,13,NA,2,2006
47,14,Pretty Happy,2,2006
31,14,Pretty Happy,2,2006
40,16,NA,2,2006
17,14,NA,2,2006
28,12,NA,2,2006
38,12,Very Happy,2,2006
53,16,Pretty Happy,2,2006
48,11,Very Happy,2,2006
48,11,Pretty Happy,2,2006
28,12,NA,2,2006
37,7,NA,2,2006
32,16,NA,2,2006
31,12,Pretty Happy,2,2006
46,12,Pretty Happy,2,2006
38,12,NA,2,2006
47,14,Pretty Happy,2,2006
39,12,Very Happy,2,2006
36,14,NA,2,2006
58,16,Very Happy,2,2006
66,19,Not Too Happy,2,2006
45,16,Not Too Happy,2,2006
36,18,Not Too Happy,2,2006
31,12,NA,2,2006
69,14,Not Too Happy,2,2006
47,16,Pretty Happy,2,2006
25,14,Very Happy,2,2006
34,13,Not Too Happy,2,2006
32,14,NA,2,2006
54,18,Very Happy,2,2006
52,12,NA,2,2006
NA,15,Pretty Happy,2,2006
37,14,NA,2,2006
38,16,Very Happy,2,2006
63,14,Very Happy,2,2006
46,13,NA,2,2006
48,19,NA,2,2006
74,16,Very Happy,2,2006
25,12,Not Too Happy,2,2006
33,12,Pretty Happy,2,2006
64,18,NA,2,2006
48,12,NA,2,2006
64,14,Pretty Happy,2,2006
55,14,Very Happy,2,2006
27,16,NA,2,2006
28,11,Pretty Happy,2,2006
47,12,Not Too Happy,2,2006
61,17,Pretty Happy,2,2006
47,13,Very Happy,2,2006
71,20,Pretty Happy,2,2006
54,16,Very Happy,2,2006
31,8,Very Happy,2,2006
24,15,Very Happy,2,2006
40,12,NA,2,2006
24,13,Very Happy,2,2006
31,14,Pretty Happy,2,2006
53,13,Pretty Happy,2,2006
51,16,Pretty Happy,2,2006
39,14,Pretty Happy,2,2006
31,12,NA,2,2006
38,12,Very Happy,2,2006
64,2,Pretty Happy,2,2006
61,16,Pretty Happy,2,2006
47,14,NA,2,2006
54,12,Not Too Happy,2,2006
55,14,NA,2,2006
47,14,Not Too Happy,2,2006
NA,11,Pretty Happy,2,2006
47,12,NA,2,2006
64,15,Pretty Happy,2,2006
45,13,Pretty Happy,2,2006
37,12,Pretty Happy,2,2006
NA,6,Very Happy,2,2006
47,12,Pretty Happy,2,2006
59,14,Pretty Happy,2,2006
51,14,Pretty Happy,2,2006
60,14,NA,2,2006
54,14,Not Too Happy,2,2006
33,12,Very Happy,2,2006
49,16,NA,2,2006
40,13,Pretty Happy,2,2006
46,14,Not Too Happy,2,2006
50,14,NA,2,2006
65,12,NA,2,2006
28,12,NA,2,2006
66,18,NA,2,2006
NA,12,NA,2,2006
NA,13,NA,2,2006
47,12,Not Too Happy,2,2006
NA,10,Very Happy,2,2006
25,11,Pretty Happy,2,2006
37,14,Not Too Happy,2,2006
31,16,Pretty Happy,2,2006
46,2,Not Too Happy,2,2006
36,8,NA,2,2006
