Occupational_Prestige_Pct,Highest_Educ_Level,Happiness,sex,Year
47,15,Pretty Happy,2,2000
NA,13,Pretty Happy,2,2000
68,14,Very Happy,2,2000
66,14,Pretty Happy,2,2000
38,12,Pretty Happy,2,2000
57,14,Pretty Happy,2,2000
59,18,Very Happy,2,2000
53,16,Pretty Happy,2,2000
NA,12,Very Happy,2,2000
64,17,Very Happy,2,2000
NA,16,Pretty Happy,2,2000
61,12,Pretty Happy,2,2000
32,13,Not Too Happy,2,2000
25,12,Pretty Happy,2,2000
NA,13,Very Happy,2,2000
45,12,Very Happy,2,2000
64,17,Very Happy,2,2000
48,12,Pretty Happy,2,2000
35,8,Not Too Happy,2,2000
49,13,Pretty Happy,2,2000
17,16,Pretty Happy,2,2000
55,14,Very Happy,2,2000
25,6,Pretty Happy,2,2000
48,12,Very Happy,2,2000
47,16,Very Happy,2,2000
62,16,Pretty Happy,2,2000
38,13,Pretty Happy,2,2000
47,12,Pretty Happy,2,2000
37,12,Very Happy,2,2000
50,18,Pretty Happy,2,2000
57,16,Pretty Happy,2,2000
28,15,Pretty Happy,2,2000
61,17,Very Happy,2,2000
61,20,Pretty Happy,2,2000
61,16,Very Happy,2,2000
42,10,Pretty Happy,2,2000
24,8,Pretty Happy,2,2000
35,14,Very Happy,2,2000
NA,7,Very Happy,2,2000
35,12,Pretty Happy,2,2000
45,10,Very Happy,2,2000
35,10,NA,2,2000
39,7,Pretty Happy,2,2000
36,12,Pretty Happy,2,2000
33,12,Pretty Happy,2,2000
NA,4,NA,2,2000
25,11,Pretty Happy,2,2000
25,9,Not Too Happy,2,2000
28,13,Not Too Happy,2,2000
61,18,Pretty Happy,2,2000
48,13,Pretty Happy,2,2000
48,14,Pretty Happy,2,2000
61,19,Very Happy,2,2000
NA,13,Pretty Happy,2,2000
33,16,Not Too Happy,2,2000
36,12,Pretty Happy,2,2000
39,NA,Pretty Happy,2,2000
35,12,Very Happy,2,2000
74,18,Very Happy,2,2000
NA,16,Pretty Happy,2,2000
53,17,Not Too Happy,2,2000
60,16,Very Happy,2,2000
17,15,Pretty Happy,2,2000
41,16,Pretty Happy,2,2000
50,9,Pretty Happy,2,2000
49,13,Pretty Happy,2,2000
38,12,Pretty Happy,2,2000
50,11,Very Happy,2,2000
31,11,Not Too Happy,2,2000
NA,13,Not Too Happy,2,2000
NA,10,Very Happy,2,2000
NA,13,Very Happy,2,2000
38,12,Pretty Happy,2,2000
37,14,Not Too Happy,2,2000
